,User_A,User_B,Type,Source
110,@MimiTexasAngel,@MimiTexasAngel,Tweet,Democratic
111,@MimiTexasAngel,@MimiTexasAngel,Tweet,Republican
112,@MimiTexasAngel,@MimiTexasAngel,Tweet,Public
113,@TheStonedTrades,@TheStonedTrades,Tweet,Democratic
114,@TheStonedTrades,@TheStonedTrades,Tweet,Public
115,@hkb73,@MimiTexasAngel,Retweet,Democratic
116,@hkb73,@MimiTexasAngel,Retweet,Public
117,@hkb73,@POTUS,Retweet,Democratic
118,@hkb73,@POTUS,Retweet,Public
119,@MimiTexasAngel,@POTUS,Reply,Democratic
120,@MimiTexasAngel,@POTUS,Reply,Republican
121,@MimiTexasAngel,@POTUS,Reply,Public
122,@wiselaw,@wiselaw,Tweet,Democratic
123,@wiselaw,@wiselaw,Tweet,Republican
124,@wiselaw,@wiselaw,Tweet,Public
125,@JenuineJones,@JenuineJones,Tweet,Democratic
126,@democrat_iowa,@brianhos,Reply,Democratic
127,@democrat_iowa,@KimReynoldsIA,Reply,Democratic
128,@democrat_iowa,@KimReynoldsIA,Reply,Democratic
129,@CannabisBizNews,@CannabisBizNews,Tweet,Democratic
130,@CannabisBizNews,@CannabisBizNews,Tweet,Republican
131,@CannabisBizNews,@CannabisBizNews,Tweet,Public
132,@MMPconnect,@MMPconnect,Tweet,Democratic
133,@MMPconnect,@MMPconnect,Tweet,Republican
134,@MMPconnect,@MMPconnect,Tweet,Public
135,@MimiTexasAngel,@AP,Reply,Democratic
136,@MimiTexasAngel,@AP,Reply,Republican
137,@MimiTexasAngel,@AP,Reply,Public
138,@MimiTexasAngel,@TheDemocrats,Reply,Democratic
139,@MimiTexasAngel,@TheDemocrats,Reply,Republican
140,@MimiTexasAngel,@TheDemocrats,Reply,Public
141,@GriffKohout,@GriffKohout,Tweet,Democratic
142,@GriffKohout,@GriffKohout,Tweet,Republican
143,@GriffKohout,@GriffKohout,Tweet,Public
144,@GriffKohout,@AOC,Retweet,Democratic
145,@GriffKohout,@AOC,Retweet,Republican
146,@GriffKohout,@AOC,Retweet,Public
147,@GriffKohout,@GriffKohout,Tweet,Democratic
148,@GriffKohout,@GriffKohout,Tweet,Republican
149,@GriffKohout,@GriffKohout,Tweet,Public
150,@MMPconnect,@MMPconnect,Tweet,Democratic
151,@MMPconnect,@MMPconnect,Tweet,Republican
152,@MMPconnect,@MMPconnect,Tweet,Public
153,@EricJafMN,@daveweigel,Reply,Democratic
154,@bridget6_joan,@bridget6_joan,Tweet,Democratic
155,@GriffKohout,@GriffKohout,Tweet,Democratic
156,@GriffKohout,@GriffKohout,Tweet,Republican
157,@GriffKohout,@GriffKohout,Tweet,Public
158,@GriffKohout,@GriffKohout,Tweet,Democratic
159,@GriffKohout,@GriffKohout,Tweet,Republican
160,@GriffKohout,@GriffKohout,Tweet,Public
161,@GriffKohout,@GriffKohout,Tweet,Democratic
162,@GriffKohout,@GriffKohout,Tweet,Republican
163,@GriffKohout,@GriffKohout,Tweet,Public
164,@KulpaBart,@KulpaBart,Tweet,Democratic
165,@metmgmt22,@metmgmt22,Tweet,Democratic
166,@metmgmt22,@metmgmt22,Tweet,Republican
167,@10000Bakes,@jeremyrmiller,Mention,Democratic
168,@10000Bakes,@jeremyrmiller,Mention,Public
169,@10000Bakes,"@mnsrc,",Mention,Democratic
170,@10000Bakes,"@mnsrc,",Mention,Public
171,@DragonDesigns86,@DragonDesigns86,Tweet,Democratic
172,@GriffKohout,@AOC,Reply,Democratic
173,@GriffKohout,@AOC,Reply,Republican
174,@GriffKohout,@AOC,Reply,Public
175,@MarkQuarter,@THEMMEXCHANGE,Retweet,Democratic
176,@EricTheRode,@S_Andreoni,Retweet,Democratic
177,@chronictrekkie,@CannabisFreedo1,Retweet,Democratic
178,@GlobalCannaComm,@CannabisFreedo1,Retweet,Democratic
179,@GlobalCannaComm,@CannabisFreedo1,Retweet,Republican
180,@GlobalCannaComm,@CannabisFreedo1,Retweet,Public
181,@democrat_iowa,@RandyOnEd,Reply,Democratic
182,@BernieBot_2020,@MimiTexasAngel,Retweet,Democratic
183,@BernieBot_2020,@MimiTexasAngel,Retweet,Republican
184,@MimiTexasAngel,@MimiTexasAngel,Tweet,Democratic
185,@MimiTexasAngel,@MimiTexasAngel,Tweet,Republican
186,@MimiTexasAngel,@MimiTexasAngel,Tweet,Public
187,@RangDipkin5,@S_Andreoni,Retweet,Democratic
188,@KulpaBart,@KulpaBart,Tweet,Democratic
189,@dobsonian99,@dobsonian99,Tweet,Democratic
190,@EricNelsonG,@S_Andreoni,Retweet,Democratic
191,@Puff_Daddy_Jr,@S_Andreoni,Retweet,Democratic
192,@Puff_Daddy_Jr,@S_Andreoni,Retweet,Public
193,@S_Andreoni,@S_Andreoni,Tweet,Democratic
194,@MMPconnection,@MMPconnection,Tweet,Democratic
195,@MMPconnection,@MMPconnection,Tweet,Republican
196,@MMPconnection,@MMPconnection,Tweet,Public
197,@shirley25030882,@chrisoliver75,Retweet,Democratic
198,@testclear,@testclear,Tweet,Democratic
199,@clintfusden043,@SeedBankME,Retweet,Democratic
200,@clintfusden043,@SeedBankME,Retweet,Republican
201,@clintfusden043,@SeedBankME,Retweet,Public
202,@SeedBankME,@SeedBankME,Tweet,Democratic
203,@VoteToLegalize,@CannabisFreedo1,Retweet,Democratic
